street_name,postal_code,zone_name,latitude,longitude,full_address
Waterloo Main Road,1000,Waterloo Central,8.3330,-13.0600,"Waterloo Main Road, Waterloo Central, 1000"
Waterloo Old Road,1000,Waterloo Central,8.3320,-13.0610,"Waterloo Old Road, Waterloo Central, 1000"
Waterloo Market Road,1001,Waterloo Junction,8.3295,-13.0580,"Waterloo Market Road, Waterloo Junction, 1001"
Waterloo Junction Road,1001,Waterloo Junction,8.3290,-13.0576,"Waterloo Junction Road, Waterloo Junction, 1001"
Waterloo Lorry Park Road,1001,Waterloo Junction,8.3288,-13.0572,"Lorry Park Road, Waterloo Junction, 1001"
SLRA Road,1001,Waterloo Junction,8.3292,-13.0574,"SLRA Road, Waterloo Junction, 1001"
Benguema Road,1002,Benguema,8.3350,-13.0550,"Benguema Road, Benguema, 1002"
Benguema Barracks Road,1002,Benguema,8.3355,-13.0545,"Benguema Barracks Road, Benguema, 1002"
Benguema Training Center Road,1002,Benguema,8.3360,-13.0540,"Benguema Training Center Road, Benguema, 1002"
Jui Main Road,1003,Jui,8.3400,-13.0700,"Jui Main Road, Jui, 1003"
Jui Junction,1003,Jui,8.3405,-13.0705,"Jui Junction, Jui, 1003"
Jui Police Road,1003,Jui,8.3410,-13.0710,"Jui Police Road, Jui, 1003"
Jui Military Road,1003,Jui,8.3415,-13.0715,"Jui Military Road, Jui, 1003"
Jui Hospital Road,1003,Jui,8.3420,-13.0720,"Jui Hospital Road, Jui, 1003"
Jui Back Road,1003,Jui,8.3395,-13.0695,"Jui Back Road, Jui, 1003"
Jui Mosque Road,1003,Jui,8.3390,-13.0690,"Jui Mosque Road, Jui, 1003"
Jui Market Road,1003,Jui,8.3385,-13.0685,"Jui Market Road, Jui, 1003"
Jui Barracks Road,1003,Jui,8.3425,-13.0725,"Jui Barracks Road, Jui, 1003"
Jui Village Road,1003,Jui,8.3380,-13.0680,"Jui Village Road, Jui, 1003"
Jui Estate Road,1003,Jui,8.3435,-13.0735,"Jui Estate Road, Jui, 1003"
Kossoh Town Road,1004,Kossoh Town,8.3360,-13.0590,"Kossoh Town Road, Kossoh Town, 1004"
Kossoh Town Junction,1004,Kossoh Town,8.3365,-13.0595,"Kossoh Town Junction, Kossoh Town, 1004"
Newton Main Road,1005,Newton,8.3644,-13.0768,"Newton Main Road, Newton, 1005"
Newton Junction,1005,Newton,8.3650,-13.0775,"Newton Junction, Newton, 1005"
Newton Village Road,1005,Newton,8.3640,-13.0760,"Newton Village Road, Newton, 1005"
Newton Market Road,1005,Newton,8.3655,-13.0780,"Newton Market Road, Newton, 1005"
Hastings Main Road,1006,Hastings,8.3740,-13.1252,"Hastings Main Road, Hastings, 1006"
Hastings Airfield Road,1006,Hastings,8.3750,-13.1260,"Hastings Airfield Road, Hastings, 1006"
Hastings Police Road,1006,Hastings,8.3735,-13.1245,"Hastings Police Road, Hastings, 1006"
Hastings Market Road,1006,Hastings,8.3745,-13.1255,"Hastings Market Road, Hastings, 1006"
Grafton Main Road,1007,Grafton,8.3890,-13.1468,"Grafton Main Road, Grafton, 1007"
Grafton Village Road,1007,Grafton,8.3885,-13.1465,"Grafton Village Road, Grafton, 1007"
Grafton Cemetery Road,1007,Grafton,8.3895,-13.1472,"Grafton Cemetery Road, Grafton, 1007"
Regent Village Road,1008,Regent,8.4140,-13.2116,"Regent Village Road, Regent, 1008"
Regent Main Road,1008,Regent,8.4145,-13.2120,"Regent Main Road, Regent, 1008"
Regent Junction,1008,Regent,8.4150,-13.2125,"Regent Junction, Regent, 1008"
Regent Bottom Road,1008,Regent,8.4130,-13.2110,"Regent Bottom Road, Regent, 1008"
Regent Top Road,1008,Regent,8.4165,-13.2135,"Regent Top Road, Regent, 1008"
Leicester Village Road,1009,Leicester,8.4390,-13.1964,"Leicester Village Road, Leicester, 1009"
Leicester Peak Road,1009,Leicester,8.4395,-13.1970,"Leicester Peak Road, Leicester, 1009"
Gloucester Village Road,1010,Gloucester,8.4340,-13.2216,"Gloucester Village Road, Gloucester, 1010"
York Village Road,1011,York,8.3590,-13.2942,"York Village Road, York, 1011"
Kent Village Road,1012,Kent,8.3580,-13.2935,"Kent Village Road, Kent, 1012"
Tombo Main Road,1013,Tombo,8.2090,-13.1042,"Tombo Main Road, Tombo, 1013"
Tombo Fishing Road,1013,Tombo,8.2085,-13.1040,"Tombo Fishing Road, Tombo, 1013"
Tombo Market Road,1013,Tombo,8.2095,-13.1045,"Tombo Market Road, Tombo, 1013"
Devil Hole Road,1014,Devil Hole,8.3310,-13.0620,"Devil Hole Road, Devil Hole, 1014"
Rokel Road,1015,Rokel,8.3345,-13.0560,"Rokel Road, Rokel, 1015"
Adonkia Road,1016,Adonkia,8.3350,-13.0620,"Adonkia Road, Adonkia, 1016"
Songo Road,1017,Songo,8.3355,-13.0625,"Songo Road, Songo, 1017"
Moyiba Road,1018,Moyiba,8.3300,-13.0615,"Moyiba Road, Moyiba, 1018"
Tassoh Road,1019,Tassoh,8.3335,-13.0595,"Tassoh Road, Tassoh, 1019"
Charlotte Village Road,1020,Charlotte,8.4135,-13.2130,"Charlotte Village Road, Charlotte, 1020"
Babadorie Road,1021,Babadorie,8.4155,-13.2100,"Babadorie Road, Babadorie, 1021"
Sugar Loaf Road,1022,Sugar Loaf,8.4170,-13.2140,"Sugar Loaf Road, Sugar Loaf, 1022"
Lakka Road,1029,Lakka Beach,8.3880,-13.3280,"Lakka Road, Lakka Beach, 1029"
Siaka Stevens Street,1102,Siaka Stevens,8.4770,-13.2260,"Siaka Stevens Street, Siaka Stevens, 1102"
Lamina Sankoh Street,1102,Siaka Stevens,8.4768,-13.2258,"Lamina Sankoh Street, Siaka Stevens, 1102"
Tower Hill,1101,Tower Hill,8.4820,-13.2285,"Tower Hill, Tower Hill, 1101"
Pademba Road,1165,Pademba Road,8.4810,-13.2300,"Pademba Road, Pademba Road, 1165"
Central Business District,1100,Central Freetown,8.4787,-13.2283,"CBD, Central Freetown, 1100"
East Street,1103,Cline Town,8.4780,-13.2010,"East Street, Cline Town, 1103"
Cline Street,1103,Cline Town,8.4770,-13.1990,"Cline Street, Cline Town, 1103"
Cline Town Main Road,1103,Cline Town,8.4775,-13.2000,"Cline Town Main Road, Cline Town, 1103"
East End Road,1104,East End,8.4842,-13.1950,"East End Road, East End, 1104"
Fourah Bay Road,1105,Fourah Bay,8.4890,-13.2050,"Fourah Bay Road, Fourah Bay, 1105"
FBC Road,1105,Fourah Bay,8.4895,-13.2055,"FBC Road, Fourah Bay, 1105"
FBC Campus Road,1146,Mount Aureol,8.4900,-13.2060,"FBC Campus Road, Mount Aureol, 1146"
Mount Aureol Road,1146,Mount Aureol,8.4905,-13.2065,"Mount Aureol Road, Mount Aureol, 1146"
Congo Cross,1106,Congo Town,8.4910,-13.2120,"Congo Cross, Congo Town, 1106"
Congo Town Road,1106,Congo Town,8.4912,-13.2122,"Congo Town Road, Congo Town, 1106"
Model School Road,1170,Model School,8.4905,-13.2115,"Model School Road, Model School, 1170"
Mountain Cut,1171,Mountain Cut,8.4908,-13.2118,"Mountain Cut, Mountain Cut, 1171"
